uid,наименование,статус
u175,Скрипты (ШОУРУМ),Просмотрен
u175,1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ,Просмотрен
u175,"Учебное пособие ""электроника для начинающих""",Просмотрен
u1456,Учебное пособие для Управляющих Корректировка товарного запаса,Просмотрен
u1456,СКРИПТЫ: спец проект,Просмотрен
u1456,Ученый курс для Управляющих «Сопровождение проверок»,Просмотрен
u1456,Учебное пособие для Управляющих «Юридическое сопровождение магазина»,Просмотрен
u1456,Скрипты по презентации товара,Просмотрен
u1456,Коллекции,Просмотрен
u1406,Учебное пособие для Управляющих Маркетинг,Просмотрен
u1406,Инструкция по работе с УЗВ,Просмотрен
u1406,Учебное пособие «Компания Чайникофф»,Просмотрен
u1964,Запуск теста на Портале обучения,Просмотрен
u1964,Тостеры,Просмотрен
u578,Учебное пособие Домашняя техника,Просмотрен
u1799,Коллекции,Просмотрен
u1799,Дизайнерские чайники,Просмотрен
u1799,Тостеры,Просмотрен
u47,Учебное пособие «Компания Чайникофф»,Просмотрен
u1494,How are you,Просмотрен
u1083,Дизайнерские чайники,Просмотрен
u1083,СТАТЬЯ: Речь как индикатор личности.,Просмотрен
u1440,Скрипты по презентации товара,Просмотрен
u995,1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ,Просмотрен
u995,Тостеры,Просмотрен
u995,Вентиляторы,Просмотрен
u995,Стиральные машины и наборы для стирки,Просмотрен
u995,Стандарты работы с Клиентами,Просмотрен
u995,Учебное пособие «Компания Чайникофф»,Просмотрен
u995,Учебное пособие «Обеспечение безопасности магазина»,Просмотрен
u995,Соковыжималки,Просмотрен
u995,Инструкция по раскладке товара,Просмотрен
u995,Дизайнерские чайники,Просмотрен
u995,Презентация товара,Просмотрен
u995,Учебное пособие Домашняя техника,Просмотрен
u582,Просмотр результатов мероприятия,Просмотрен
u865,Демонстрационная презентация Tefal,Просмотрен
u544,СТАТЬЯ: Управляем по-взрослому,Просмотрен
u831,Наклейки,Просмотрен
u831,Подарки,Просмотрен
u831,Ассортимент ноутбуков,Просмотрен
u831,Скрипты (ШОУРУМ),Просмотрен
u831,Дизайнерские чайники,Просмотрен
u831,Фены,Просмотрен
u831,Бытовая техника,Просмотрен
u831,ПАМЯТКА «ИЗДЕЛИЯ ИМПОРТНОГО ПРОИЗВОДСТВА»,Просмотрен
u831,Ассортимент,Просмотрен
u831,Тостеры,Просмотрен
u831,Вентиляторы,Просмотрен
u831,Технология  демонстрации оборудования,Просмотрен
u831,Учебное пособие «Клиентские сервисы»,Просмотрен
u831,Стиральные машины и наборы для стирки,Просмотрен
u831,Планшеты,Просмотрен
u831,Смартфоны,Просмотрен
u1422,Учебное пособие «Клиентский сервис»,Просмотрен
u1422,Учебное пособие «Схемотехника»,Просмотрен
u1422,Технология  демонстрации оборудования,Просмотрен
u1422,СКРИПТЫ ПО сервисам магазина,Просмотрен
u1422,Спавочник: Список рекомендуемой литературы,Просмотрен
u1422,Учебное пособие для директоров магазинов «Управление безопасностью магазина»,Просмотрен
u1422,Памятка «Взаимодействие магазин – мастерская»,Просмотрен
u1422,1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ,Просмотрен
u1422,ПАМЯТКА «ИЗДЕЛИЯ ИМПОРТНОГО ПРОИЗВОДСТВА»,Просмотрен
u1422,Программа Спасибо от Сбербанка,Просмотрен
u1422,Учебное пособие для Управляющих Корректировка товарного запаса,Просмотрен
u1422,Учебное пособие «Компания Чайникофф»,Просмотрен
u1422,Планшеты,Просмотрен
u1422,Учебное пособие «Клиентские сервисы»,Просмотрен
u1422,Учебный курс «Стандарты качества Чайникофф»,Просмотрен
u1422,Инструкция «Мерчендайзинг»,Просмотрен
u1422,Учебное пособие «Обеспечение безопасности магазина»,Просмотрен
u1422,Каталог программ обучения,Просмотрен
u1422,СКРИПТЫ спец проект,Просмотрен
u1422,Кофемашины,Просмотрен
u1422,Учебное пособие Домашняя техника,Просмотрен
u1422,Скидочные карты,Просмотрен
u1422,ПОРЯДОК ОРГАНИЗАЦИИ КОРПОРАТИВНОГО ОБУЧЕНИЯ,Просмотрен
u1422,Учебное пособие «Сервисы Компании кредит и рассрочка»,Просмотрен
u1422,Учебное пособие «Клиентские сервисы»,Просмотрен
u1422,Скрипты по презентации товара,Просмотрен
u1422,Учебное пособие «Чайники»,Просмотрен
u1422,Фены,Просмотрен
u1422,"Учебное пособие ""электроника для начинающих""",Просмотрен
u1422,"Форматы магазинов ""Чайникофф""",Просмотрен
u1422,Скрипты (ШОУРУМ),Просмотрен
u147,Запуск теста на Портале обучения,Просмотрен
u147,Скрипты (ШОУРУМ),Просмотрен
u147,СКРИПТЫ: спец проект,Просмотрен
u147,Новая панель руководителя,Просмотрен
u147,УЧЕБНОЕ ПОСОБИЕ ДЛЯ УПРАВЛЯЮЩИХ «РАБОТА С ЭЛЕКТРОННЫМ ДОКУМЕНТООБОРОТОМ»,Просмотрен
u147,Русско-английский разговорник продавца,Просмотрен
u147,Согласование заявок,Просмотрен
u147,Панель руководителя-Тесты,Просмотрен
u147,Countries & nationalities,Просмотрен
u147,Grammar_to be,Просмотрен
u147,Назначение теста и курса,Просмотрен
u269,Памятка «Взаимодействие магазин – мастерская»,Просмотрен
u269,ПАМЯТКА «ИЗДЕЛИЯ ИМПОРТНОГО ПРОИЗВОДСТВА»,Просмотрен
u269,Скрипты по презентации товара,Просмотрен
u109,скрипты Tefal,Просмотрен
u1811,СКРИПТЫ спец проект,Просмотрен
u387,Запуск теста на Портале обучения,Просмотрен
u387,Работа с вебинаром виртуального класса,Просмотрен
u1652,Бизнес-тренинг для продавцов,Просмотрен
u1652,Подарки,Просмотрен
u210,Скрипты (ШОУРУМ),Просмотрен
u210,скрипты Tefal,Просмотрен
u111,"Учебное пособие ""электроника для начинающих""",Просмотрен
u1345,Учебное пособие «Чайники»,Просмотрен
u1345,Учебное пособие «Компания Чайникофф»,Просмотрен
u1941,Учебное пособие Домашняя техника,Просмотрен
u1941,Рисунок для маркетологов,Просмотрен
u1941,Презентация продукта,Просмотрен
u236,ПАМЯТКА «ИЗДЕЛИЯ ИМПОРТНОГО ПРОИЗВОДСТВА»,Просмотрен
u236,Учебное пособие «Чайники»,Просмотрен
u236,Кофемашины,Просмотрен
u236,СТАТЬЯ: 25 правил продаж,Просмотрен
u882,Что такое постановка целей по SMART,Просмотрен
u957,Стиральные машины и наборы для стирки,Просмотрен
u957,Тостеры,Просмотрен
u957,Утюги и аксессуары для глажки,Просмотрен
u957,Дизайнерские чайники,Просмотрен
u634,Инструкция по выкладке товара,Просмотрен
u634,Инструкция по раскладке товара,Просмотрен
u762,Авансовые отчеты,Просмотрен
u762,Вентиляторы,Просмотрен
u762,скрипты Tefal,Просмотрен
u762,СТАТЬЯ: 25 правил продаж,Просмотрен
u1593,Тостеры,Просмотрен
u1593,СКРИПТЫ спец проект,Просмотрен
u1849,Учебное пособие «Схемотехника»,Просмотрен
u178,Technical prowess chimes with collectors (part 1),Просмотрен
u933,Дизайнерские чайники,Просмотрен
u933,СТАТЬЯ: Речь как индикатор личности.,Просмотрен
u1717,Демонстрационная презентация продукта Чайникофф,Просмотрен
u1120,Инструкция «Мерчендайзинг»,Просмотрен
u56,Дизайнерские чайники,Просмотрен
u56,Тостеры,Просмотрен
u191,Запуск теста на Портале обучения,Просмотрен
u1942,Учебное пособие Домашняя техника,Просмотрен
u1942,1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ,Просмотрен
u1814,Мотивация на 100%,Просмотрен
u730,Ассортимент ноутбуков,Просмотрен
u730,Вентиляторы,Просмотрен
u730,Учебное пособие 1С Заявки на платеж,Просмотрен
